Pump wv (nm):	1955
Probe wv (nm):	1270
P in (mW):	5.35
P start(uW):	25.9
P end(uW):	26.01
Pump in: 	W0214
Probe in: 	W0215
Pump out: 	W0216
Probe out:	W0217

delay (fs)	Transmission
400	0.9971264368
333.3333333	1.001440922
266.6666667	1.00433526
200	1.001449275
133.3333333	0.9927325581
66.66666667	0.9593023256
0	0.8924418605
-66.66666667	0.789244186
-133.3333333	0.6873198847
-200	0.6340057637
-266.6666667	0.6224783862
-333.3333333	0.6340057637
-400	0.65129683
-466.6666667	0.674351585
-533.3333333	0.6959654179
