Pump wv (nm):	1950
Probe wv (nm):	1310
P in (mW):	7.4
P start(uW):	35.0
P end(uW):	25.0
Pump in: 	W0132
Probe in: 	W0130
Pump out: 	W0131
Probe out:	W0133

delay (fs)	Transmission
600	1
533.3333333	0.987460815
466.6666667	0.9686520376
400	0.934169279
333.3333333	0.8881922675
266.6666667	0.8265412748
200	0.7533960293
133.3333333	0.6948798328
66.66666667	0.657262278
0	0.6384535005
-66.66666667	0.6405433647
-133.3333333	0.6541274817
-200	0.6718913271
-233.3333333	0.684430512
-300	0.7053291536
-366.6666667	0.7272727273
-500	0.762800418
-633.3333333	0.7878787879
-766.6666667	0.8098223615
-900	0.828631139
-1033.333333	0.842215256
-1166.666667	0.854754441
-1300	0.8672936259
-1433.333333	0.8829676071
-1566.666667	0.9070010449
-1700	0.9467084639
-1766.666667	0.9623824451
-1833.333333	0.9853709509
-1900	0.9905956113
-1966.666667	0.9926854754
-2033.333333	0.9979101358
-2100	1
-2166.666667	0.9979101358
-2233.333333	0.9968652038
