Pump wv (nm):	1958
Probe wv (nm):	1244
P in (mW):	2.9
P start(uW):	25.02
P end(uW):	24.5
Pump in: 	W0284
Probe in: 	W0283
Pump out: 	W0281
Probe out:	W0282

delay (fs)	Transmission
333.3333333	0.9944903581
266.6666667	0.9944903581
200	0.9972451791
133.3333333	0.9931129477
66.66666667	0.991643454
0	0.9614325069
-66.66666667	0.9318181818
-133.3333333	0.8778409091
-200	0.8295454545
-266.6666667	0.821529745
-333.3333333	0.8124645892
-466.6666667	0.8201133144
-600	0.8413597734
-733.3333333	0.8516949153
-866.6666667	0.8689265537
-1000	0.8785310734
-1133.333333	0.8898305085
-1266.666667	0.9039548023
-1400	0.9096045198
-1533.333333	0.9209039548
-1666.666667	0.9265536723
-1800	0.9293785311
-1933.333333	0.9322033898
-2066.666667	0.9352112676
-2200	0.9438202247
-2333.333333	0.952247191
-2400	0.9598853868
-2466.666667	0.9775280899
-2600	1
-2733.333333	0.9971988796
-2866.666667	1
