Pump wv (nm):	1962
Probe wv (nm):	1273.7
P in (mW):	4.1
P start(uW):	25.3
P end(uW):	24.1
Pump in: 	W0299
Probe in: 	W0300
Pump out: 	W0299
Probe out:	W0300

delay (fs)	Transmission
333.3333333	1
266.6666667	1
200	0.9899497487
133.3333333	0.9798994975
66.66666667	0.959798995
0	0.9417721519
-66.66666667	0.9139240506
-133.3333333	0.8860759494
-200	0.8636363636
-266.6666667	0.8484848485
-333.3333333	0.8486005089
-400	0.8478371501
-466.6666667	0.844783715
-533.3333333	0.8526315789
-600	0.8815789474
-666.6666667	0.8864864865
