Pump wv (nm):	1960
Probe wv (nm):	1273
P in (mW):	6.7
P start(uW):	35.5
P end(uW):	35.5
Pump in: 	W0162
Probe in: 	W0156
Pump out: 	W0159
Probe out:	W0158

delay (fs)	Transmission
666.6666667	1
600	0.9985974755
533.3333333	0.9957924264
466.6666667	0.9929873773
400	0.9918630752
333.3333333	0.9738984002
300	0.9605633803
266.6666667	0.9404828748
233.3333333	0.9112676056
200	0.8887952822
166.6666667	0.8591549296
133.3333333	0.8356741573
66.66666667	0.8035965159
0	0.7911748173
-66.66666667	0.7899915659
-133.3333333	0.7972440945
-200	0.805907173
-266.6666667	0.8216094541
-333.3333333	0.8330987898
-466.6666667	0.8488175676
-600	0.8589129823
-733.3333333	0.8746478873
-866.6666667	0.8861651169
-1000	0.8962795941
-1133.333333	0.9092190584
-1266.666667	0.9165256627
-1400	0.928067701
-1533.333333	0.933972912
-1666.666667	0.9412926898
-1733.333333	0.9429700734
-1800	0.9502965264
-1866.666667	0.959039548
-1933.333333	0.9663746821
-2000	0.9751271905
-2066.666667	0.9881255301
-2133.333333	0.9971711457
