Pump wv (nm):	1951
Probe wv (nm):	1295.5
P in (mW):	5
P start(uW):	25.3
P end(uW):	26.8
Pump in: 	W0205
Probe in: 	W0204
Pump out: 	W0202
Probe out:	W0203

delay (fs)	Transmission
400	1
333.3333333	1.001436782
266.6666667	1.001436782
200	0.9971264368
133.3333333	0.9942528736
66.66666667	0.9841954023
0	0.9727011494
-66.66666667	0.9568965517
-133.3333333	0.9454022989
-200	0.9267241379
-266.6666667	0.9123563218
-333.3333333	0.8994252874
-400	0.8979885057
-466.6666667	0.8979885057
-533.3333333	0.9037356322
-600	0.908045977
-666.6666667	0.9166666667
