Pump wv (nm):	1950
Probe wv (nm):	1310
P in (mW):	6
P start(uW):	35.1
P end(uW):	35.1
Pump in: 	W0132
Probe in: 	W0130
Pump out: 	W0131
Probe out:	W0150

delay (fs)	Transmission
866.6666667	1
800	1
733.3333333	1.004535147
666.6666667	1.002267574
600	0.9931972789
533.3333333	0.9818594104
466.6666667	0.977324263
400	0.9659863946
333.3333333	0.9535147392
266.6666667	0.9455782313
200	0.9421768707
133.3333333	0.9265536723
66.66666667	0.9197740113
0	0.9186440678
-66.66666667	0.9209039548
-133.3333333	0.9242937853
-266.6666667	0.9298642534
-400	0.9399773499
-533.3333333	0.9444444444
-666.6666667	0.9489216799
-800	0.9568181818
-933.3333333	0.9624573379
-1066.666667	0.9681093394
-1200	0.9692482916
-1333.333333	0.9715261959
-1466.666667	0.9817767654
-1533.333333	0.9874715262
-1600	0.9954441913
-1666.666667	0.9965831435
-1733.333333	0.9988610478
-1800	0.9977090493
-1866.666667	1
-1933.333333	0.9988399072
-2000	1.001160093
