Pump wv (nm):	1959.7
Probe wv (nm):	1322.5
P in (mW):	50.6
P start(uW):	206
P end(uW):	206
Pump in: 	W0301
Probe in: 	W0302
Pump out: 	W0344
Probe out:	W0319

delay (fs)	Transmission
533.3333333	0.9920159681
466.6666667	0.9920159681
400	0.9920159681
333.3333333	0.9920159681
266.6666667	0.9920159681
200	0.998003992
133.3333333	0.996007984
66.66666667	0.9760479042
0	0.9381237525
-66.66666667	0.8822355289
-133.3333333	0.8103792415
-200	0.7365269461
-266.6666667	0.6827309237
-333.3333333	0.6592741935
-400	0.661971831
-600	0.752016129
-800	0.8080808081
-1000	0.8475609756
-1200	0.8875255624
-1400	0.9115226337
-1600	0.9333333333
-1800	0.9619450317
-2000	0.9680851064
-2200	0.9893162393
-2400	1.002145923
