Pump wv (nm):	1959.7
Probe wv (nm):	1322.5
P in (mW):	50.6
P start(uW):	206
P end(uW):	206
Pump in: 	W0301
Probe in: 	W0302
Pump out: 	W0344
Probe out:	W0319

delay (fs)	Spectrum
533.3333333	W0320
466.6666667	W0321
400	W0322
333.3333333	W0323
266.6666667	W0324
200	W0325
133.3333333	W0326
66.66666667	W0327
0	W0328
-66.66666667	W0329
-133.3333333	W0330
-200	W0331
-266.6666667	W0332
-333.3333333	W0333
-400	W0334
-600	W0335
-800	W0336
-1000	W0337
-1200	W0338
-1400	W0339
-1600	W0340
-1800	W0341
-2000	W0342
-2200	W0343
